post_id,locations,trip_template,location_count
313,['丽池公园'],丽池公园,1
314,['丽池公园'],丽池公园,1
315,['托莱多'],托莱多,1
316,"['丽池公园', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场']",丽池公园|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场,5
317,[],,0
318,"['太阳门广场', '西班牙广场', '托莱多', '塞万提斯雕像']",太阳门广场|西班牙广场|托莱多|塞万提斯雕像,4
319,[],,0
320,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心,6
321,"['马德里王宫', '阿穆德纳圣母主教座堂']",马德里王宫|阿穆德纳圣母主教座堂,2
322,"['丽池公园', '阿尔卡拉门', '马约尔广场', '西班牙广场']",丽池公园|阿尔卡拉门|马约尔广场|西班牙广场,4
323,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心,5
324,[],,0
325,"['丽池公园', '阿尔卡拉门', '太阳门广场', '普拉多博物馆', '马约尔广场', '圣米盖尔市场']",丽池公园|阿尔卡拉门|太阳门广场|普拉多博物馆|马约尔广场|圣米盖尔市场,6
326,[],,0
327,[],,0
328,['马德里王宫'],马德里王宫,1
329,"['丽池公园', '水晶宫', '阿尔卡拉门', '普拉多博物馆']",丽池公园|水晶宫|阿尔卡拉门|普拉多博物馆,4
330,['丽池公园'],丽池公园,1
331,"['丽池公园', '水晶宫']",丽池公园|水晶宫,2
332,[],,0
333,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '圣米盖尔市场', '德波神庙', '格兰大道', '托莱多']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|圣米盖尔市场|德波神庙|格兰大道|托莱多,9
334,[],,0
335,[],,0
336,"['丽池公园', '马德里王宫', '普拉多博物馆', '格兰大道']",丽池公园|马德里王宫|普拉多博物馆|格兰大道,4
337,"['丽池公园', '阿尔卡拉门', '马德里王宫', '马约尔广场', '圣米盖尔市场', '阿穆德纳圣母主教座堂']",丽池公园|阿尔卡拉门|马德里王宫|马约尔广场|圣米盖尔市场|阿穆德纳圣母主教座堂,6
338,['丽池公园'],丽池公园,1
339,"['马德里王宫', '托莱多']",马德里王宫|托莱多,2
340,"['丽池公园', '普拉多博物馆']",丽池公园|普拉多博物馆,2
341,[],,0
342,"['丽池公园', '普拉多博物馆', '索菲亚王后艺术中心']",丽池公园|普拉多博物馆|索菲亚王后艺术中心,3
343,"['丽池公园', '马约尔广场', '阿穆德纳圣母主教座堂']",丽池公园|马约尔广场|阿穆德纳圣母主教座堂,3
344,"['丽池公园', '索菲亚王后艺术中心']",丽池公园|索菲亚王后艺术中心,2
345,"['丽池公园', '德波神庙']",丽池公园|德波神庙,2
346,[],,0
347,[],,0
348,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆,5
349,['马约尔广场'],马约尔广场,1
350,"['太阳门广场', '托莱多']",太阳门广场|托莱多,2
351,['丽池公园'],丽池公园,1
352,"['丽池公园', '玫瑰园', '太阳门广场']",丽池公园|玫瑰园|太阳门广场,3
353,['马约尔广场'],马约尔广场,1
354,"['太阳门广场', '托莱多']",太阳门广场|托莱多,2
355,[],,0
356,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '提森博物馆', '阿穆德纳圣母主教座堂']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|提森博物馆|阿穆德纳圣母主教座堂,9
357,[],,0
358,[],,0
359,"['丽池公园', '水晶宫', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心']",丽池公园|水晶宫|太阳门广场|普拉多博物馆|索菲亚王后艺术中心,5
